a-150 tissue-equivalent plastic,,,,,,,,
1.127000,zaid,w-p,a-f,,,,,
1.74,,,,,,,,
Mg,12000,1,1,,,,,
,,,,,,,,
magnesium oxide,,,,,,,,
3.58,,,,,,,,
O,8016,0.396964,0.5,,,,,
Mg,12000,0.603036,0.5,,,,,
,,,,,,,,
magnesium tetraborate,,,,,,,,
2.53,,,,,,,,
B,5000,0.240837,0.333313,,,,,
O,8016,0.62379,0.583351,,,,,
Mg,12000,0.135373,0.083336,,,,,
,,,,,,,,
molybdenum,,,,,,,,
10.22,,,,,,,,
Mo,42000,1,1,,,,,
,,,,,,,,
nickel,,,,,,,,
8.902,,,,,,,,
Ni,28000,1,1,,,,,
,,,,,,,,
palladium,,,,,,,,
12.02,,,,,,,,
Pd,46000,1,1,,,,,
,,,,,,,,
platinum,,,,,,,,
21.45,,,,,,,,
Pt,78000,1,1,,,,,
,,,,,,,,
polycarbonate,,,,,,,,
1.2,,,,,,,,
H,1001,0.055491,0.424226,,,,,
C,6000,0.755751,0.484864,,,,,
O,8016,0.188758,0.09091,,,,,
,,,,,,,,
polyethylene terephthalate,,,,,,,,
1.38,,,,,,,,
H,1001,0.04196,0.363632,,,,,
C,6000,0.625016,0.454552,,,,,
O,8016,0.333024,0.181816,,,,,
,,,,,,,,
polyethylene borated,,,,,,,,
1,,,,,,,,
H,1001,0.125355,0.627759,,,,,
B,5000,0.1,0.04669,,,,,
C,6000,0.774645,0.325552,,,,,
,,,,,,,,
polyethylene,,,,,,,,
0.93,,,,,,,,
H,1001,0.143716,0.666662,,,,,
C,6000,0.856284,0.333338,,,,,
,,,,,,,,
polypropylene,,,,,,,,
0.9,,,,,,,,
H,1001,0.143711,0.666653,,,,,
C,6000,0.856289,0.333347,,,,,
,,,,,,,,
polystyrene,,,,,,,,
1.06,,,,,,,,
H,1001,0.077421,0.499994,,,,,
C,6000,0.922579,0.500006,,,,,
,,,,,,,,
polytetrafluorothylene,,,,,,,,
2.25,,,,,,,,
C,6000,0.240183,0.333339,,,,,
F,9019,0.759818,0.666661,,,,,
,,,,,,,,
polyurethane foam,,,,,,,,
0.021,,,,,,,,
H,1001,0.041,0.360023,,,,,
C,6000,0.544,0.400878,,,,,
N,7014,0.121,0.076459,,,,,
O,8016,0.294,0.162639,,,,,
,,,,,,,,
polyvinyl acetate,,,,,,,,
1.19,,,,,,,,
H,1001,0.070245,0.499986,,,,,
C,6000,0.558066,0.333345,,,,,
O,8016,0.371689,0.166668,,,,,
,,,,,,,,
polyvinyl chloride,,,,,,,,
1.406,,,,,,,,
H,1001,0.048382,0.499995,,,,,
C,6000,0.384361,0.33334,,,,,
Cl,17000,0.567257,0.166665,,,,,
,,,,,,,,
polyvinyl toluene,,,,,,,,
1.032,,,,,,,,
H,1001,0.085,0.525382,,,,,
C,6000,0.915,0.474618,,,,,
,,,,,,,,
